买方客户,得分
999800036590SR,42
999800009276SR,60
999800034538SR,60
999800003835SR,48
999800007273SR,42
999800036243SR,36
999800030790SR,36
999800021147SR,36
999800022151SR,60
999800041873SR,60
999800002556SR,42
999800045352SR,54
999800013641SR,54
999800001669SR,60
999800031611CF,27.6
999800013304CF,36
999800005568SR,54
999800036166SR,60
999800045156SR,60
999800040133SR,60
999800021354SR,36
999800026611SR,54
999800026834SR,54
999800028336SR,42
999800031008SR,60
999800010602SR,54
999800042067SR,42
999800048002SR,60
999800027087SR,60
999800028365CF,43.8
999800043009SR,42
999800042985SR,54
999800031462SR,24
999800027353SR,60
999800048376SR,54
999800003409SR,60
999800012018SR,36
999800010912SR,42
999800047187SR,60
999800007744SR,42
999800047803SR,60
999800026202SR,60
999800000939SR,42
999800001131SR,18
999800019444SR,36
999800006349SR,54
999800010414SR,24
999800039771SR,60
999800021010SR,36
999800002227SR,60
999800022461SR,36
999800038407CF,43.8
999800031071SR,60
999800014198SR,60
999800006051SR,36
999800019705SR,60
999800019095SR,42
999800012446CF,52.2
999800048737CF,55.8
999800043012SR,42
999800040487SR,60
999800026536SR,48
999800016384SR,60
999800006207SR,42
999800028054CF,27.6
999800042120SR,42
999800028511SR,60
999800006656SR,36
999800046025SR,42
999800048759SR,60
999800024733SR,60
999800032596SR,54
999800001940SR,60
999800040478CF,55.8
999800022177SR,42
999800038357SR,60
999800011634SR,54
999800045766SR,54
999800037387SR,24
999800042031SR,60
999800000077SR,60
999800020055SR,42
999800045651SR,30
999800003338SR,48
999800010204SR,54
999800015367SR,42
999800030971SR,42
999800010639SR,24
999800013699SR,54
999800017711SR,60
999800017022SR,60
999800003953SR,42
999800034473SR,36
999800026837SR,0
999800014678CF,19.8
999800032077SR,60
999800011023SR,60
999800018378CF,39.6
999800023700SR,24
999800017614SR,60
999800039082SR,60
999800030583SR,60
999800021059SR,60
999800005936SR,54
999800042215SR,42
999800040597SR,60
999800031335SR,60
999800045332SR,60
999800026626SR,42
999800008056SR,54
999800009698SR,60
999800006695SR,24
999800027644SR,60
999800045857SR,60
999800029699SR,42
999800032248SR,24
999800015564SR,42
999800033171SR,36
999800020450SR,60
999800005742SR,60
999800035254SR,60
999800001440SR,24
999800015548SR,60
999800039337SR,60
999800020734SR,60
999800001250SR,60
999800012325CF,55.8
999800020473SR,60
999800011303SR,60
999800008693SR,60
999800015157CF,48
999800021064SR,60
999800030587SR,60
999800013580SR,24
999800034969SR,60
