卖方客户,品种,货物编号,货物数量（张）,仓库,品牌,产地,年度,等级,类别
999900000001,CF,CF2020011104087,8,314,,新疆,2020,1230A,S1U2P3
999900000001,CF,CF2020011103822,1,335,,新疆,2020,1228C,S2U3P2
999900000002,CF,CF2020011108737,2,309,,非新疆,2020,2228A,S2U3P2
999900000002,CF,CF2020011101610,6,325,,新疆,2020,4128C,S3U2P3
999900000002,CF,CF2020011104593,2,332,,新疆,2020,4128C,S1U3P2
999900000002,CF,CF2020011100200,6,319,,非新疆,1920,4130B,S3U3P3
999900000002,CF,CF2020011105530,5,330,,非新疆,2020,4130C,S2U2P2
999900000002,CF,CF2020011100057,7,306,,新疆,1920,2228B,S3U2P1
999900000002,CF,CF2020011106996,9,322,,新疆,2020,2229B,S2U4P2
999900000002,CF,CF2020011107557,6,335,,非新疆,2020,3129C,S2U3P1
999900000002,CF,CF2020011107964,6,330,,非新疆,1920,1228C,S1U2P2
999900000003,CF,CF2020011109260,6,308,,新疆,1920,2128C,S2U2P2
999900000003,CF,CF2020011100561,4,307,,非新疆,2020,3129A,S2U3P2
999900000003,CF,CF2020011109774,4,335,,新疆,2020,3132B,S3U3P3
999900000003,CF,CF2020011105596,3,301,,非新疆,2020,2228C,S3U3P3
999900000003,CF,CF2020011104058,3,335,,非新疆,2020,2129A,S1U2P2
999900000004,CF,CF2020011107663,3,327,,新疆,2020,3129B,S3U3P1
999900000004,CF,CF2020011105837,6,330,,非新疆,1920,2229B,S2U3P3
999900000004,CF,CF2020011103544,3,306,,非新疆,1920,3128B,S2U3P1
999900000004,CF,CF2020011109778,7,323,,非新疆,1920,4130B,S4U3P1
999900000004,CF,CF2020011101242,3,325,,非新疆,2020,1129B,S2U2P2
999900000004,CF,CF2020011100078,4,334,,非新疆,2020,2131A,S3U2P2
999900000004,CF,CF2020011109480,6,335,,新疆,1920,1129B,S2U2P1
999900000005,CF,CF2020011104037,6,333,,新疆,1920,3129B,S3U4P2
999900000006,CF,CF2020011103882,6,313,,新疆,1920,1227C,S2U2P1
999900000006,CF,CF2020011102688,5,325,,非新疆,1920,3127C,S4U4P2
999900000006,CF,CF2020011109847,4,311,,新疆,2020,2227B,S4U4P2
999900000007,CF,CF2020011105896,4,325,,非新疆,2020,2228B,S3U3P3
999900000007,CF,CF2020011101836,4,331,,非新疆,1920,2229A,S4U2P2
999900000007,CF,CF2020011107750,6,311,,非新疆,2020,1227A,S3U4P2
999900000007,CF,CF2020011103988,7,306,,新疆,1920,1128B,S1U2P2
999900000008,CF,CF2020011108035,4,317,,非新疆,1920,1229A,S2U3P1
999900000009,CF,CF2020011106104,7,323,,新疆,2020,1228C,S4U2P2
999900000009,CF,CF2020011104323,9,311,,新疆,2020,1128C,S4U4P2
999900000009,CF,CF2020011103503,9,330,,新疆,2020,4129A,S1U2P2
999900000010,CF,CF2020011106590,7,308,,非新疆,2020,1128A,S2U3P1
999900000010,CF,CF2020011100225,5,330,,新疆,2020,3131A,S4U3P1
999900000010,CF,CF2020011104020,9,334,,新疆,2020,3129B,S2U3P3
999900000010,CF,CF2020011102641,1,327,,新疆,2020,1129B,S1U2P2
